id;name;address;postal_code;phone;city;bank_name;bank_account;logo;logo_content_type
1;Intelligent Cotton Gloves frame deposit;infrastructure microchip;payment Ergonomic;(105) 711-0638 x61785;Elisabethview;Kenya overriding Sri Lanka Rupee;SSL United States of America violet;../fake-data/blob/hipster.png;image/png
2;withdrawal;global;invoice;840.410.2809 x838;West Maritzahaven;Nauru open architecture Optimization;Sierra Leone intermediate;../fake-data/blob/hipster.png;image/png
3;white 1080p;Multi-lateral;Croatia Gorgeous Wooden Bacon;1-579-632-3035 x60369;Camrynfurt;Rustic Street bandwidth;Forward eyeballs;../fake-data/blob/hipster.png;image/png
4;robust;TCP;invoice parse;671-287-6611 x55304;West Bryonchester;North Carolina Vision-oriented Multi-channelled;Sri Lanka bypass;../fake-data/blob/hipster.png;image/png
5;Manager;Facilitator Representative;driver microchip;(499) 050-1670;New Willyhaven;Legacy;WellsXXXXX;../fake-data/blob/hipster.png;image/png
6;Shirt National;Brand Beauty time-frame;cross-platform virtual parse;774-163-9065;East Demarcusmouth;Guarani high-level;impactfulX;../fake-data/blob/hipster.png;image/png
7;hierarchy deposit Auto Loan Account;frame Representative leading edge;Rubber seize Home Loan Account;579.218.6298 x18232;Lake Pattown;contextually-based JBOD;portals online;../fake-data/blob/hipster.png;image/png
8;Incredible Steel Shirt;Moldovan Leu optical;Handmade Plastic Pants synergistic embrace;092-147-8890 x9392;Rosalindburgh;Investment Account;Guarani pink Canadian Dollar;../fake-data/blob/hipster.png;image/png
9;Technician New Zealand Dollar;Awesome Baby SCSI;purple bus;1-663-688-1748 x854;Hallieberg;sensor alarm;quantifying Wooden;../fake-data/blob/hipster.png;image/png
10;reinvent;Integration New Hampshire;Refined;1-768-126-4889 x02207;Wildermanton;frictionless platforms;Gorgeous Granite Computer;../fake-data/blob/hipster.png;image/png
