id;amount;payment_date;description;payment_method
1;36635;2020-02-22T19:09:02;Guernsey applications;INCASSO
2;23184;2020-02-22T08:49:37;Chair;INCASSO
3;33338;2020-02-22T04:07:11;Buckinghamshire lime Tools;CHEQUE
4;11298;2020-02-22T19:34:30;Factors Alabama Accountability;CASH
5;14845;2020-02-22T20:17:31;framework;CASH
6;50944;2020-02-22T14:10:53;Functionality;CASH
7;45056;2020-02-22T06:06:48;Gorgeous Soft Hat;INCASSO
8;31306;2020-02-22T00:50:36;Nigeria compressing leading edge;CHEQUE
9;90381;2020-02-22T05:38:21;Usability Comoros;CASH
10;72944;2020-02-22T06:42:12;exploit Table;CHEQUE
